Dataset,KMeans,Meanshift,DBSCAN,OPTICS
australian,0.07541916763638506,0.06692883939135827,0.0,0.09399449300442929
banknote,0.06007996228804437,6.625613364490847e-16,0.3090671962351233,0.6631227944625422
breastcan,0.7254028497432213,0.8523360441293872,0.26178496428973386,0.32699058077234316
diabetes,0.018643837997381913,0.038439055676057696,0.0,0.0760192109431356
german,0.014454586540120046,0.019730508906102204,0.0,0.030309291654670407
liver,0.008213043957381665,0.03383273021935985,7.342902594671102e-16,0.012503856737408104
popfailures,0.01582871662691972,0.038660385421004605,0.0,0.04357058962891789
spambase,0.07794204530080204,0.08862474766461059,0.03466439186901983,0.2239961954260724
wisconsin,0.6425805399073182,0.7856394881651098,0.24035564564872525,0.30175485995520235
yeast6,0.1650197926778581,0.061562333500347274,0.004218157874318476,0.04538702594082599
