Dataset,KMeans,Meanshift,DBSCAN,OPTICS
australian,0.2624842527493384,0.14032690345127213,0.0,0.0010559570471990855
banknote,0.4609643627340122,0.27769608493696085,0.0006907031357922365,8.505881209293283e-05
breastcan,0.5424179363807846,0.10290216070042298,0.0008297771455666192,0.0006306306306306306
diabetes,0.40570629307742634,0.19829692264294094,0.0,0.0006536564212833774
german,0.3509520326292884,0.29493630882978517,0.0,0.00044978038891808696
liver,0.2839660251043136,0.13480469652591864,0.0,0.007024351083757025
popfailures,0.35594228835068725,0.09671859854173678,0.0,0.00734898798228969
spambase,0.263540245653886,0.049696744043684,0.00018385732671446958,1.4747913907577773e-05
wisconsin,0.7280780190618759,0.0874045807873314,0.0006224712107065049,0.0005027652086475616
yeast6,0.2519286170365338,0.15287629694409355,0.3189577717879605,0.0003000570108320581
