Dataset,KMeans,Meanshift,DBSCAN,OPTICS
australian,0.5410980641066329,0.5235375013223316,0.5053490671210114,0.497351759533876
banknote,0.5372259468025892,0.5043314641562817,0.505869181057856,0.5113258182297614
breastcan,0.9129942909848449,0.8599053798323872,0.461127593891019,0.46253590550572554
diabetes,0.5189931155875428,0.5546504407185522,0.5450347674923947,0.4910093437635811
german,0.5335879396984924,0.5816381909547739,0.5795795795795796,0.5574414414414415
liver,0.4975277067348679,0.4971014492753623,0.5112908661948096,0.5046680148297944
popfailures,0.54042921426099,0.38258913118726207,0.8438535009963581,0.6093245378959665
spambase,0.5680042196154069,0.5593770005789745,0.5080007181803577,0.49559585345340806
wisconsin,0.880605031502748,0.845289780597882,0.45563248357252073,0.45731724813589614
yeast6,0.55958766162156,0.8762960495163885,0.9172199573604172,0.7639410170612858
